detector,old,new,delta
"arbitrary-send-eth",0,0,0
"assembly",0,0,0
"calls-loop",0,0,0
"constable-states",0,0,0
"costly-loop",0,0,0
"divide-before-multiply",0,0,0
"events-maths",0,0,0
"immutable-states",0,0,0
"incorrect-exp",0,0,0
"locked-ether",0,0,0
"low-level-calls",0,0,0
"missing-inheritance",0,0,0
"missing-zero-check",0,0,0
"naming-convention",0,0,0
"pragma",0,0,0
"reentrancy-benign",0,0,0
"reentrancy-eth",0,0,0
"reentrancy-events",0,0,0
"reentrancy-no-eth",0,0,0
"solc-version",0,0,0
"timestamp",0,0,0
"too-many-digits",0,0,0
"unused-return",0,0,0
